LocationName,ISO,country,region,world_region,MPI,geo,lat,lon
"Mambðrð-Kadði, Central African Republic",CAF,Central African Republic,Mambðrð-Kadði,Sub-Saharan Africa,0.4970000000000001,"(8.154077, 123.258793)",8.154077000000001,123.258793
"Nana-Mambðrð, Central African Republic",CAF,Central African Republic,Nana-Mambðrð,Sub-Saharan Africa,0.52,"(1000.0, 1000.0)",,
"Sangha-Mbaðrð, Central African Republic",CAF,Central African Republic,Sangha-Mbaðrð,Sub-Saharan Africa,0.505,"(15.341806, -84.6060449)",15.341806,-84.6060449
"Ouham-Pendð, Central African Republic",CAF,Central African Republic,Ouham-Pendð,Sub-Saharan Africa,0.479,"(1000.0, 1000.0)",,
"Ouham, Central African Republic",CAF,Central African Republic,Ouham,Sub-Saharan Africa,0.5329999999999999,"(7.090910999999999, 17.668887)",7.0909109999999975,17.668886999999994
"Kðmo, Central African Republic",CAF,Central African Republic,Kðmo,Sub-Saharan Africa,0.501,"(1000.0, 1000.0)",,
"Nana-Grðbizi, Central African Republic",CAF,Central African Republic,Nana-Grðbizi,Sub-Saharan Africa,0.419,"(1000.0, 1000.0)",,
"Ouaka, Central African Republic",CAF,Central African Republic,Ouaka,Sub-Saharan Africa,0.47100000000000003,"(6.3168216, 20.7122465)",6.316821599999999,20.7122465
"Haute-Kotto, Central African Republic",CAF,Central African Republic,Haute-Kotto,Sub-Saharan Africa,0.42,"(7.7964379, 23.3823545)",7.7964379,23.3823545
"Bamingui-Bangoran, Central African Republic",CAF,Central African Republic,Bamingui-Bangoran,Sub-Saharan Africa,0.364,"(8.2733455, 20.7122465)",8.2733455,20.7122465
"Basse-Kotto, Central African Republic",CAF,Central African Republic,Basse-Kotto,Sub-Saharan Africa,0.544,"(4.8719319, 21.2845025)",4.8719319,21.2845025
"Mbomou, Central African Republic",CAF,Central African Republic,Mbomou,Sub-Saharan Africa,0.491,"(5.356142699999999, -3.9666402)",5.356142699999999,-3.9666402
"Haut-Mbomou, Central African Republic",CAF,Central African Republic,Haut-Mbomou,Sub-Saharan Africa,0.418,"(6.2537134, 25.4733554)",6.2537134000000005,25.4733554
"Bangui, Central African Republic",CAF,Central African Republic,Bangui,Sub-Saharan Africa,0.19699999999999998,"(4.3946735, 18.5581899)",4.3946735,18.5581899
"East, China",CHN,China,East,East Asia and the Pacific,0.008,"(42.4708101, -92.35780319999999)",42.4708101,-92.3578032
"Central, China",CHN,China,Central,East Asia and the Pacific,0.013000000000000001,"(29.70534, -95.5483893)",29.705340000000003,-95.5483893
"West, China",CHN,China,West,East Asia and the Pacific,0.034,"(35.86166, 104.195397)",35.86166,104.195397
"Centre, Cote d'Ivoire",CIV,Cote d'Ivoire,Centre,Sub-Saharan Africa,0.359,"(-8.6529334, 117.3616476)",-8.6529334,117.3616476
"Centre-Est, Cote d'Ivoire",CIV,Cote d'Ivoire,Centre-Est,Sub-Saharan Africa,0.297,"(1000.0, 1000.0)",,
"Centre-Nord, Cote d'Ivoire",CIV,Cote d'Ivoire,Centre-Nord,Sub-Saharan Africa,0.322,"(13.4540922, -16.6733441)",13.4540922,-16.673344099999998
"Centre-Ouest, Cote d'Ivoire",CIV,Cote d'Ivoire,Centre-Ouest,Sub-Saharan Africa,0.33399999999999996,"(1000.0, 1000.0)",,
"Nord, Cote d'Ivoire",CIV,Cote d'Ivoire,Nord,Sub-Saharan Africa,0.47700000000000004,"(5.361844, -4.0231596)",5.3618440000000005,-4.0231596
"Nord-Est, Cote d'Ivoire",CIV,Cote d'Ivoire,Nord-Est,Sub-Saharan Africa,0.374,"(5.308612999999999, -3.9468284)",5.308612999999999,-3.9468284
"Nord-Ouest, Cote d'Ivoire",CIV,Cote d'Ivoire,Nord-Ouest,Sub-Saharan Africa,0.518,"(7.702782699999999, -5.036833)",7.7027826999999975,-5.0368330000000014
"Ouest, Cote d'Ivoire",CIV,Cote d'Ivoire,Ouest,Sub-Saharan Africa,0.38,"(7.539988999999999, -5.547079999999999)",7.5399889999999985,-5.547079999999999
"Sud sans Abidjan, Cote d'Ivoire",CIV,Cote d'Ivoire,Sud sans Abidjan,Sub-Saharan Africa,0.264,"(1000.0, 1000.0)",,
"Sud-ouest, Cote d'Ivoire",CIV,Cote d'Ivoire,Sud-ouest,Sub-Saharan Africa,0.39399999999999996,"(4.7459773, -6.6143386)",4.7459773,-6.6143386
"Ville d'Abidjan, Cote d'Ivoire",CIV,Cote d'Ivoire,Ville d'Abidjan,Sub-Saharan Africa,0.109,"(5.3428333, -4.0264183)",5.3428333,-4.0264183
"Adamaoua, Cameroon",CMR,Cameroon,Adamaoua,Sub-Saharan Africa,0.26899999999999996,"(6.9181954, 12.8054753)",6.9181954,12.8054753
"Centre (sans Yaoundð), Cameroon",CMR,Cameroon,Centre (sans Yaoundð),Sub-Saharan Africa,0.179,"(1000.0, 1000.0)",,
"Douala, Cameroon",CMR,Cameroon,Douala,Sub-Saharan Africa,0.024,"(4.0510564, 9.7678687)",4.0510564,9.7678687
"Est, Cameroon",CMR,Cameroon,Est,Sub-Saharan Africa,0.27399999999999997,"(3.950512799999999, 13.914399)",3.950512799999999,13.914399
"Extrðme-Nord, Cameroon",CMR,Cameroon,Extrðme-Nord,Sub-Saharan Africa,0.54,"(1000.0, 1000.0)",,
"Littoral (sans Douala), Cameroon",CMR,Cameroon,Littoral (sans Douala),Sub-Saharan Africa,0.091,"(4.0134386, 9.717007299999999)",4.0134386,9.7170073
"Nord, Cameroon",CMR,Cameroon,Nord,Sub-Saharan Africa,0.45799999999999996,"(8.580901299999999, 13.914399)",8.580901299999999,13.914399
"Nord-Ouest, Cameroon",CMR,Cameroon,Nord-Ouest,Sub-Saharan Africa,0.16699999999999998,"(6.470373899999999, 10.439656)",6.470373899999999,10.439656
"Ouest, Cameroon",CMR,Cameroon,Ouest,Sub-Saharan Africa,0.146,"(5.4638158, 10.8000051)",5.4638158,10.8000051
"Sud, Cameroon",CMR,Cameroon,Sud,Sub-Saharan Africa,0.131,"(2.7202832, 11.7068294)",2.7202832000000003,11.7068294
"Sud-Ouest, Cameroon",CMR,Cameroon,Sud-Ouest,Sub-Saharan Africa,0.129,"(5.1573493, 9.367308399999999)",5.1573493,9.3673084
"Yaoundð, Cameroon",CMR,Cameroon,Yaoundð,Sub-Saharan Africa,0.026000000000000002,"(1000.0, 1000.0)",,
"Kinshasa, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",Kinshasa,Sub-Saharan Africa,0.102,"(-4.4419311, 15.2662931)",-4.4419311,15.2662931
"Bandundu, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",Bandundu,Sub-Saharan Africa,0.435,"(-4.163679, 18.8076195)",-4.163679,18.8076195
"Bas-Congo, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",Bas-Congo,Sub-Saharan Africa,0.39299999999999996,"(-5.2365685, 13.914399)",-5.2365685,13.914399
"ðquateur, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",ðquateur,Sub-Saharan Africa,0.48,"(1000.0, 1000.0)",,
"Kasað-Occidental, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",Kasað-Occidental,Sub-Saharan Africa,0.49,"(1000.0, 1000.0)",,
"Kasað-Oriental, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",Kasað-Oriental,Sub-Saharan Africa,0.431,"(1000.0, 1000.0)",,
"Katanga, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",Katanga,Sub-Saharan Africa,0.4,"(-8.8851145, 26.419389)",-8.8851145,26.419389
"Maniema, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",Maniema,Sub-Saharan Africa,0.409,"(-3.0730929, 26.0413889)",-3.0730929,26.0413889
